length, ns_distribucion_uniforme, ns_creciente, ns_decreciente, ns_constante 
1, 175, 91, 109, 80
2, 150, 157, 127, 134
3, 265, 208, 167, 241
4, 357, 152, 130, 404
5, 290, 170, 153, 760
6, 554, 190, 174, 1268
7, 755, 220, 205, 1935
8, 2323, 332, 292, 3647
9, 3504, 356, 559, 4805
10, 4495, 337, 289, 6072
11, 7867, 368, 406, 7569
12, 16349, 354, 335, 10023
13, 14743, 431, 417, 12670
14, 28283, 462, 507, 17232
15, 48254, 491, 388, 20245
16, 90376, 516, 928, 24432
17, 99996, 589, 764, 29478
18, 129744, 557, 494, 34375
19, 252118, 1151, 3685, 40449
20, 563617, 853, 1816, 52403
21, 548461, 807, 705, 64578
22, 1674504, 1369, 7128, 87816
23, 1654058, 2437, 4103, 88370